114	106
110	112
116	115
105	109
122	102
123	110
104	106
109	112
105	114
103	113
123	113
107	117
102	112
123	112
110	103
117	111
117	119
119	121
114	104
104	116
110	102
108	102
115	117
101	106
112	107
109	103
107	109
113	114
113	110
118	120
112	113
115	104
105	115
103	118
113	120
111	118
117	121
115	101
103	108
104	111
102	120
109	120
122	114
121	123
111	107
102	103
122	118
123	102
123	107
113	109
114	107
113	104
113	107
103	115
117	112
120	111
117	118
116	105
103	121
116	109
119	122
112	115
119	109
102	107
108	117
111	101
106	108
122	112
111	114
115	114
121	120
118	116
109	115
122	123
119	103
123	114
123	119
114	110
101	121
115	121
113	118
112	120
118	121
106	123
109	104
105	122
111	121
106	117
106	111
120	105
115	119
110	109
117	103
116	111
116	114
117	110
117	109
111	102
112	101
120	103
108	111
119	112
104	107
115	102
118	114
116	101
108	114
121	109
101	110
121	114
121	104
101	118
112	114
110	108
101	108
112	116
105	102
116	103
110	120
123	118
121	105
122	106
119	102
118	105
118	112
106	105
121	107
107	101
117	116
106	120
113	116
143	128
145	134
135	139
138	145
136	129
137	126
133	126
139	134
130	138
134	142
137	134
127	128
139	137
130	143
131	143
128	140
144	140
138	142
138	147
135	136
134	138
144	142
127	133
143	145
136	146
133	128
139	138
127	147
146	139
130	136
136	134
129	126
128	130
140	146
128	144
143	132
147	145
127	135
142	137
139	127
137	147
140	129
142	143
126	130
132	133
145	132
141	129
131	146
129	146
132	147
126	127
135	132
144	137
131	142
140	145
130	132
134	130
139	147
129	142
142	146
134	143
128	129
134	135
135	138
127	144
134	147
138	133
140	134
145	136
138	126
140	141
144	139
139	128
130	145
140	135
146	138
132	129
129	134
136	128
141	131
133	139
144	141
140	137
140	147
141	132
143	127
131	130
135	147
138	131
131	126
128	145
147	128
146	126
141	130
135	137
126	140
130	139
146	132
131	136
145	144
136	147
137	129
146	135
137	143
141	142
132	127
145	127
128	126
126	132
140	136
145	133
139	131
145	142
147	126
127	146
145	141
130	135
141	126
135	126
137	130
137	127
134	146
140	130
144	147
143	136
144	130
131	135
132	140
133	134
137	141
136	142
134	128
160	169
171	162
157	164
163	169
153	170
160	167
163	165
172	160
170	158
166	159
172	162
165	162
157	160
169	164
168	166
152	160
172	165
171	159
169	159
165	167
154	153
164	163
152	166
169	168
170	163
165	156
165	164
172	171
156	164
155	170
154	165
164	159
170	152
151	162
157	170
170	164
166	157
171	165
172	166
171	153
152	172
155	161
162	163
161	154
152	153
159	160
160	151
167	154
158	165
153	161
169	167
166	161
160	165
167	151
157	153
165	151
156	163
159	165
156	158
168	165
153	169
170	165
160	154
171	151
151	172
165	155
152	161
171	166
169	162
165	166
158	153
160	168
151	155
162	157
151	169
172	167
167	166
172	168
152	171
166	155
160	158
152	154
153	160
155	169
164	152
169	157
166	170
168	162
168	154
163	172
162	167
164	154
155	159
168	161
168	155
160	163
152	168
170	154
158	157
154	162
160	162
170	168
164	151
166	163
169	172
154	172
155	172
163	154
163	153
154	155
151	158
159	167
167	163
161	165
161	167
155	152
159	158
163	159
155	171
157	168
156	166
155	153
168	171
153	159
162	164
171	154
161	169
172	170
156	159
168	156
158	152
189	183
177	181
191	185
187	176
182	178
183	187
183	190
195	181
189	179
184	191
188	185
193	178
186	181
190	188
181	183
186	188
185	186
193	181
194	191
195	189
194	183
186	179
177	176
187	190
194	182
188	176
184	183
176	195
189	192
186	178
176	179
181	191
186	193
182	188
190	182
182	181
184	186
189	188
191	195
185	180
191	193
187	180
185	184
194	188
179	193
192	181
177	182
185	193
184	178
179	195
180	183
178	176
195	194
182	184
190	178
180	178
180	189
184	177
182	193
181	190
179	177
192	183
190	184
192	190
181	184
181	194
185	195
192	182
191	180
179	185
189	191
181	185
176	185
176	191
194	179
195	182
189	177
189	181
177	193
183	178
192	178
178	194
195	180
180	194
192	177
187	189
190	194
190	180
186	187
182	189
183	185
183	193
192	194
194	189
177	186
176	189
185	182
188	177
190	176
180	179
183	186
187	192
185	190
177	190
183	176
192	193
186	194
189	184
188	187
188	179
189	186
179	182
192	188
194	187
184	192
179	184
184	180
182	191
186	190
183	191
112	145
102	142
121	147
109	136
123	141
120	135
115	144
121	133
101	130
123	129
117	142
107	145
105	134
122	147
114	132
107	137
118	134
102	141
121	145
114	146
134	162
145	155
138	157
127	168
139	172
143	154
142	164
126	156
134	169
130	166
136	163
144	166
130	153
134	156
133	170
139	157
131	157
145	152
134	168
145	168
157	179
171	195
164	185
162	192
157	184
170	182
157	191
155	189
156	182
171	190
159	190
170	186
157	190
157	181
170	193
167	177
153	195
171	186
162	187
168	189
